ID,holiday,heat,rainfall,flakes,cloud,atmosphere,pa,statement,dt,vol
51,None,298.06,0,0,20, Fog,100278.602,bit cloudy,4/10/2012 16:00,6289.623136
52,None,297.67,0,0,20, Fog,101219.228,bit cloudy,4/10/2012 17:00,6196.684424
53,None,296.36,0,0,40,Smoke,100942.637,bit cloudy,4/10/2012 18:00,4964.571826
54,None,293.85,0,0,40, Fog,100779.469,dispersed clounds and rain,4/10/2012 19:00,3832.171879
55,None,292.43,0,0,40, Fog,100124.565,dispersed clounds and rain,4/10/2012 20:00,3096.820738
56,None,291.77,0,0,75, Fog,100258.766,low clouds and high wind,4/10/2012 21:00,2809.714779
57,None,291.36,0,0,75,Fog,101189.816,Sky is Clear,4/10/2012 22:00,1965.410181
58,None,291.12,0,0,75, Fog,100827.136,low clouds and high wind,4/10/2012 23:00,1210.114404
59,None,290.8414334,0,0,75, Fog,101321.024,low clouds and high wind,5/10/2012 0:00,586.0432916
60,None,290.46,0,0,40, Fog,100671.515,dispersed clounds and rain,5/10/2012 1:00,366.1873349
61,None,289.26,0,0,0,Fog ,100639.237,clear sky,5/10/2012 3:00,249.6944764
62,None,281.3736484,0,0,75, Fog,100765.594,low clouds and high wind,5/10/2012 5:00,2661.185754
63,None,282.24,0,0,90, Fog,101310.556,clouds over head and dispersed sunny,5/10/2012 6:00,5390.931633
64,None,281.69,0,0,90,Percipitation ,100357.408,highly raining,5/10/2012 7:00,6475.917519
65,None,280.57,0,0,90, Fog,100812.212,clouds over head and dispersed sunny,5/10/2012 8:00,5498.459493
66,None,280.02,0,0,75, Calm,100020.371,low visiblity high smoke,5/10/2012 9:00,5426.954794
67,None,280.11,0,0,75, Fog,100152.405,low clouds and high wind,5/10/2012 10:00,4597.9406
68,None,280,0,0,90, Fog,100552.761,clouds over head and dispersed sunny,5/10/2012 11:00,5387.265981
69,None,280.53,0,0,90, Fog,100109.624,clouds over head and dispersed sunny,5/10/2012 12:00,6056.474506
70,None,281.43,0,0,75, Fog,100505.638,low clouds and high wind,5/10/2012 13:00,6109.11244
71,None,281.78,0,0,90, Fog,100136.455,clouds over head and dispersed sunny,5/10/2012 14:00,6069.08235
72,None,281.91,0,0,90, Fog,101244.335,clouds over head and dispersed sunny,5/10/2012 15:00,6240.540411
73,None,281.73,0,0,90, Fog,100920.71,clouds over head and dispersed sunny,5/10/2012 16:00,5873.979653
74,None,281.42,0,0,90, Fog,100933.877,clouds over head and dispersed sunny,5/10/2012 17:00,6114.100981
75,None,280.87,0,0,90, Fog,100644.86,clouds over head and dispersed sunny,5/10/2012 18:00,5850.212132
76,None,280.15,0,0,90, Fog,100778.971,clouds over head and dispersed sunny,5/10/2012 19:00,4194.788718
77,None,280.6030278,0,0,90, Fog,100888.802,clouds over head and dispersed sunny,5/10/2012 20:00,3356.089233
78,None,279.65,0,0,75, Fog,100825.688,low clouds and high wind,5/10/2012 21:00,2938.942215
79,None,280.0576362,0,0,40, Fog,100945.887,dispersed clounds and rain,5/10/2012 22:00,2555.959685
80,None,279.06,0,0,40, Fog,100525.281,dispersed clounds and rain,5/10/2012 23:00,2106.120145
81,None,278.81,0,0,90, Fog,100966.052,clouds over head and dispersed sunny,6/10/2012 0:00,1402.39535
82,None,278.55,0,0,90, Fog,100982.29,low visiblity high smoke,6/10/2012 1:00,889.0011743
83,None,278.59,0,0,90, Fog,100541.713,clouds over head and dispersed sunny,6/10/2012 2:00,351.5405893
84,None,276.99,0,0,75, Fog,100030.518,low clouds and high wind,6/10/2012 4:00,354.8247966
85,None,276.35,0,0,20, Sprinkle,100241.686,bit snow,6/10/2012 5:00,658.1025566
86,None,275.4,0,0,1,Fog ,100720.045,clear sky,6/10/2012 6:00,1319.476902
87,None,275.17,0,0,1,Fog ,100567.939,clear sky,6/10/2012 7:00,2305.178534
88,None,274.99,0,0,1,Fog ,100693.369,clear sky,6/10/2012 8:00,3598.013924
89,None,275.09,0,0,40, Calm,100879.326,snow,6/10/2012 9:00,4516.689608
90,None,276.88,0,0,20, Fog,100023.497,bit cloudy,6/10/2012 10:00,4798.082464
91,None,278.04,0,0,20, Fog,100945.299,bit cloudy,6/10/2012 11:00,5308.076419
92,None,279.08,0,0,40, Fog,100160.331,dispersed clounds and rain,6/10/2012 12:00,5845.914386
93,None,280.12,0,0,75,Snow,100454.52,lightning and thunderstrom,6/10/2012 13:00,4916.247452
94,None,278.9811604,0,0,75, Fog,101033.251,low clouds and high wind,6/10/2012 14:00,4832.037643
95,None,279.5555654,0,0,75, Fog,101023.274,low clouds and high wind,6/10/2012 15:00,5296.369454
96,None,279.06,0,0,90, Fog,101086.497,clouds over head and dispersed sunny,6/10/2012 16:00,5131.353253
97,None,280.1910287,0,0,90,Smoke,100172.666,snow,6/10/2012 17:00,4622.463009
98,None,278.39,0,0,90,Thunderstorm,100505.648,"cold, rain and snow",6/10/2012 18:00,4380.437303
99,None,278.16,0,0,90, Calm,101082.449,lightning and thunderstrom,6/10/2012 19:00,3998.517795
100,None,278.16,0,0,90, Fog,100400.768,clouds over head and dispersed sunny,6/10/2012 20:00,2966.481197
101,None,277.93,0,0,90, Fog,100284.818,clouds over head and dispersed sunny,6/10/2012 21:00,2839.812245
102,None,276.9,0,0,90, Fog,100624.622,clouds over head and dispersed sunny,6/10/2012 22:00,3247.857766
103,None,276.34,0,0,75,Percipitation ,101048.114,highly raining,6/10/2012 23:00,2045.861919
104,None,276.11,0,0,75, Fog,100814.385,low clouds and high wind,7/10/2012 0:00,1289.071593
105,None,276.001485,0,0,90, Fog,100697.458,clouds over head and dispersed sunny,7/10/2012 3:00,432.2302223
106,None,275.65,0,0,90, Fog,100064.048,clouds over head and dispersed sunny,7/10/2012 4:00,239.7017247
107,None,275.51,0,0,75, Fog,101239.065,heavy intensity rain,7/10/2012 5:00,598.6726494
108,None,275.05,0,0,90, Fog,100666.627,clouds over head and dispersed sunny,7/10/2012 6:00,1345.898927
109,None,274.77,0,0,90, Fog,100934.934,clouds over head and dispersed sunny,7/10/2012 7:00,1416.287005
110,None,274.77,0,0,75, Fog,101218.379,low clouds and high wind,7/10/2012 8:00,2062.508021
111,None,275.55,0,0,75, Fog,100930.458,low clouds and high wind,7/10/2012 9:00,4727.135403
112,None,276.24,0,0,75,Thunderstorm,100548.454,heavy intensity rain,7/10/2012 10:00,4491.067586
113,None,277.01,0,0,90, Fog,100747.257,clouds over head and dispersed sunny,7/10/2012 11:00,4647.049706
114,None,277.43,0,0,90, Fog,100237.091,clouds over head and dispersed sunny,7/10/2012 12:00,4946.288085
115,None,278.45,0,0,90, Fog,100095.31,clouds over head and dispersed sunny,7/10/2012 13:00,6944.351139
116,None,279.27,0,0,90, Fog,101156.504,clouds over head and dispersed sunny,7/10/2012 14:00,6603.956724
117,None,279.27,0,0,90, Fog,101297.12,clouds over head and dispersed sunny,7/10/2012 15:00,4819.05989
118,None,279.44,0,0,90,Fog ,100363.056,low visiblity high smoke,7/10/2012 16:00,4642.349866
119,None,279.32,0,0,90, Fog,100671.761,clouds over head and dispersed sunny,7/10/2012 17:00,4147.366537
120,None,279.27,0,0,90, Fog,100334.605,clouds over head and dispersed sunny,7/10/2012 18:00,4017.425413
121,None,278.11,0,0,90, Fog,100371.145,clouds over head and dispersed sunny,7/10/2012 19:00,3575.966323
122,None,276.79,0,0,75, Fog,100840.877,low clouds and high wind,7/10/2012 20:00,2851.504062
123,None,275.73,0,0,90, Fog,100040.715,clouds over head and dispersed sunny,7/10/2012 21:00,1970.052651
124,None,274.88,0,0,75,Squall,100357.933,low visiblity high smoke,7/10/2012 22:00,1471.685519
125,None,273.92,0,0,20, Fog,100646.135,bit cloudy,7/10/2012 23:00,1171.427897
126,Columbus Day,273.08,0,0,20, Fog,100568.6,bit cloudy,8/10/2012 0:00,351.9106729
127,None,272.62,0,0,20, Fog,101047.314,bit cloudy,8/10/2012 1:00,154.8092661
128,None,271.78,0,0,1,Fog ,100760,clear sky,8/10/2012 2:00,309.6058873
129,None,271.05,0,0,1,Fog ,100838.188,clear sky,8/10/2012 3:00,496.9033337
130,None,270.3336761,0,0,1,Fog ,101233.661,clear sky,8/10/2012 4:00,833.482284
131,None,270.33,0,0,1,Fog ,101094.919,clear sky,8/10/2012 5:00,2407.610354
132,None,269.61,0,0,20, Fog,100674.484,bit cloudy,8/10/2012 6:00,5369.611106
133,None,270.01,0,0,20, Fog,100040.567,bit cloudy,8/10/2012 7:00,6905.633039
134,None,271.23,0,0,20, Fog,101149.345,bit cloudy,8/10/2012 8:00,5872.474352
135,None,273.71,0,0,20, Fog,100210.966,bit cloudy,8/10/2012 9:00,4711.855528
136,None,276.77,0,0,20, Fog,100773.715,bit cloudy,8/10/2012 10:00,4267.766319
137,None,279.47,0,0,20, Fog,100561.521,bit cloudy,8/10/2012 11:00,4502.618185
138,None,279.84,0,0,1,Fog ,100672.84,clear sky,8/10/2012 12:00,4793.833599
139,None,282.34,0,0,40, Fog,100136.134,dispersed clounds and rain,8/10/2012 13:00,4432.569092
140,None,282.94,0,0,40, Fog,101200.99,dispersed clounds and rain,8/10/2012 14:00,4978.523618
141,None,283.48,0,0,1,Fog ,101095.653,clear sky,8/10/2012 15:00,5619.775158
142,None,284.33,0,0,1,Thunderstorm,101270.753,heavy snow,8/10/2012 16:00,6309.143258
143,None,284.48,0,0,40, Fog,100976.613,dispersed clounds and rain,8/10/2012 17:00,5486.407388
144,None,282.7364252,0,0,40, Fog,100070.142,dispersed clounds and rain,8/10/2012 18:00,4417.559654
145,None,281.99,0,0,20, Fog,100986.364,bit cloudy,8/10/2012 19:00,2919.133503
146,None,279.81,0,0,1,Fog ,101014.663,clear sky,8/10/2012 20:00,2373.101567
147,None,279.35,0,0,1,Fog ,100081.917,clear sky,8/10/2012 21:00,1887.870018
148,None,278.9,0,0,1,Fog ,100178.469,clear sky,8/10/2012 22:00,1443.32828
149,None,278.46,0,0,1,Fog ,101314.493,clear sky,8/10/2012 23:00,849.9792208
150,None,277.78,0,0,1,Fog ,101197.902,clear sky,9/10/2012 0:00,572.7249613
151,None,277.27,0,0,1,Fog ,100335.195,clear sky,9/10/2012 1:00,278.7390944
152,None,277.47,0,0,1,Fog ,101122.995,clear sky,9/10/2012 2:00,447.3864811
153,None,276.97,0,0,20, Fog,100825.894,bit cloudy,9/10/2012 4:00,793.7331093
154,None,276.52,0,0,40, Fog,100842.661,dispersed clounds and rain,9/10/2012 5:00,2802.671248
155,None,276.6,0,0,40, Fog,101105.856,dispersed clounds and rain,9/10/2012 6:00,5674.037479
156,None,277.31,0,0,75,Snow,100315.513,thunderstorm with light drizzle,9/10/2012 7:00,6470.997954
157,None,278.38,0,0,90, Fog,100573.035,clouds over head and dispersed sunny,9/10/2012 8:00,5895.829208
158,None,279.35,0,0,90, Fog,101219.064,clouds over head and dispersed sunny,9/10/2012 9:00,5711.197342
159,None,283.2168442,0,0,90, Fog,100491.051,clouds over head and dispersed sunny,9/10/2012 10:00,4674.455639
160,None,283.11,0,0,90, Fog,100589.317,clouds over head and dispersed sunny,9/10/2012 11:00,4741.023916
161,None,284.08,0,0,75, Fog,101241.105,low clouds and high wind,9/10/2012 12:00,5102.039168
162,None,285.14,0,0,75, Fog,101314.2,low clouds and high wind,9/10/2012 13:00,5222.465087
163,None,286.35,0,0,90, Fog,100253.402,clouds over head and dispersed sunny,9/10/2012 14:00,5432.390191
164,None,287.23,0,0,100,Percipitation ,100224.909,light rain,9/10/2012 15:00,5673.927539
165,None,288.53,0,0,90,Squall,100118.493,heavy snow,9/10/2012 16:00,6293.132615
166,None,290.37,0,0,90, Fog,100262.138,clouds over head and dispersed sunny,9/10/2012 17:00,6093.934028
167,None,290.13,0,0,90, Fog,100057.504,clouds over head and dispersed sunny,9/10/2012 18:00,4567.62335
168,None,288.86,0,0,75, Fog,100418.531,low clouds and high wind,9/10/2012 19:00,3307.456259
169,None,287.36,0,0,90, Fog,101216.619,clouds over head and dispersed sunny,9/10/2012 20:00,2754.109858
170,None,285.11,0,0,90, Fog,100939.23,clouds over head and dispersed sunny,9/10/2012 21:00,2353.147124
171,None,283.46,0,0,90, Fog,100001.409,clouds over head and dispersed sunny,9/10/2012 22:00,1921.761152
172,None,282.45,0,0,90, Fog,100867.037,clouds over head and dispersed sunny,9/10/2012 23:00,938.2237334
173,None,281.88,0,0,90, Fog,101045.239,clouds over head and dispersed sunny,10/10/2012 0:00,466.6021081
174,None,281.78,0,0,90, Fog,101090.264,clouds over head and dispersed sunny,10/10/2012 1:00,200.0393216
175,None,281.09,0,0,75, Fog,100685.821,low clouds and high wind,10/10/2012 2:00,344.1270828
176,None,281.17,0,0,90, Fog,100567.645,clouds over head and dispersed sunny,10/10/2012 3:00,557.6200399
177,None,281.25,0,0,92,Fog ,101128.504,clear sky,10/10/2012 6:00,6018.648723
178,None,281.25,0,0,99,Percipitation ,100592.616,light rain,10/10/2012 7:00,6843.827452
179,None,281.25,0,0,99, Sprinkle,101292.798,low drizzle,10/10/2012 7:00,6981.917331
180,None,280.1,0,0,99,Percipitation ,101022.82,light rain,10/10/2012 8:00,6420.696314
181,None,280.1,0,0,99,Squall,100785.248,drizzle,10/10/2012 8:00,6090.727553
182,None,279.61,0,0,99,Percipitation ,100405.926,light rain,10/10/2012 9:00,5489.778755
183,None,278.1628502,0,0,99, Sprinkle,101314.493,low drizzle,10/10/2012 9:00,5964.808251
184,None,279.67,0,0,99, Fog,100929.721,sleet,10/10/2012 10:00,4746.844491
185,None,280.19,0,0,1,Fog ,100899.712,clear sky,10/10/2012 11:00,5070.985385
186,None,282.09,0,0,75, Fog,100518.538,low clouds and high wind,10/10/2012 12:00,4868.944295
187,None,282.26,0,0,75, Fog,101258.104,low visiblity fog,10/10/2012 13:00,5186.647569
188,None,282.05,0,0,90, Fog,100571.59,clouds over head and dispersed sunny,10/10/2012 14:00,5385.056579
189,None,281.59,0,0,90, Fog,100167.363,lightning and thunderstrom,10/10/2012 15:00,5634.764691
190,None,281.23,0,0,81,Fog ,100807.341,clear sky,10/10/2012 16:00,6484.089615
191,None,282.6,0,0,81,Fog ,100029.625,clear sky,10/10/2012 18:00,4890.986044
192,None,282.6,0,0,81,Fog ,100588.72,clear sky,10/10/2012 19:00,3392.919015
193,None,282.6,0,0,81,Fog ,100298.6,clear sky,10/10/2012 20:00,2892.760841
194,None,282.6,0,0,81,Fog ,100968.424,clear sky,10/10/2012 21:00,2663.879002
195,None,282.6,0,0,81,Fog ,100858.683,clear sky,10/10/2012 22:00,1745.515043
196,None,282.6,0,0,81,Fog ,100435.163,clear sky,10/10/2012 23:00,1104.227979
197,None,273.9,0,0,1,Fog ,100940.626,clear sky,11/10/2012 1:00,225.2581635
198,None,274.4,0,0,75, Fog,100248.089,low clouds and high wind,11/10/2012 3:00,398.9134839
199,None,274.05,0,0,75, Fog,100519.876,low clouds and high wind,11/10/2012 4:00,726.8530238
200,None,273.71,0,0,40, Fog,100919.518,dispersed clounds and rain,11/10/2012 5:00,2898.709632
201,None,272.66,0,0,1,Fog ,100393.007,clear sky,11/10/2012 6:00,5653.948305
202,None,272.65,0,0,1,Fog ,100603.797,clear sky,11/10/2012 7:00,6795.615588
203,None,272.52,0,0,1,Fog ,100969.738,clear sky,11/10/2012 8:00,6349.329638
204,None,275.19,0,0,20, Fog,100356.551,bit cloudy,11/10/2012 9:00,5686.23315
205,None,275.34,0,0,1,Fog ,100820.729,clear sky,11/10/2012 10:00,4642.820993
206,None,284.1,0,0,50,Fog ,100377.594,clear sky,11/10/2012 14:00,5567.709171
207,None,283.4689344,0,0,50,Fog ,100420.562,clear sky,11/10/2012 15:00,5756.002543
208,None,281.9996279,0,0,75, Fog,100356.317,low clouds and high wind,11/10/2012 16:00,6441.964374
209,None,283.52,0,0,75, Fog,100074.815,low clouds and high wind,11/10/2012 17:00,5845.107936
210,None,283.32,0,0,90, Fog,100945.887,clouds over head and dispersed sunny,11/10/2012 18:00,4986.566514
211,None,282.06,0,0,90, Fog,100780.951,clouds over head and dispersed sunny,11/10/2012 19:00,3581.071199
212,None,281.95,0,0,90, Fog,101253.934,clouds over head and dispersed sunny,11/10/2012 20:00,2923.871412
213,None,281.81,0,0,90, Fog,101152.001,clouds over head and dispersed sunny,11/10/2012 21:00,2618.956836
214,None,282.16,0,0,90,Thunderstorm,100665.29,bit cloudy,11/10/2012 22:00,1963.114028
215,None,282.53,0,0,90, Fog,100716.732,clouds over head and dispersed sunny,11/10/2012 23:00,1494.018907
216,None,282.262395,0,0,90, Fog,101075.012,clouds over head and dispersed sunny,12/10/2012 0:00,565.7620153
217,None,285.5555543,0,0,90, Fog,101163.044,clouds over head and dispersed sunny,12/10/2012 1:00,570.4002785
218,None,284.61,0,0,90, Fog,100564.937,clouds over head and dispersed sunny,12/10/2012 2:00,500.3364151
219,None,283.18,0,0,72, Sprinkle,100081.878,low drizzle,12/10/2012 3:00,421.8538117
220,None,282.26,0,0,72,Percipitation ,100921.15,light rain,12/10/2012 4:00,637.5612572
221,None,280.77,0,0,72,Smoke,100980.861,sleet,12/10/2012 5:00,2720.414568
222,None,278.53,0,0,75, Fog,100527.968,low clouds and high wind,12/10/2012 6:00,5722.520049
223,None,277.64,0,0,75, Fog,100400.768,low clouds and high wind,12/10/2012 7:00,7025.720338
224,None,277.9,0,0,90, Fog,100751.156,clouds over head and dispersed sunny,12/10/2012 8:00,5916.859987
225,None,278.18,0,0,90, Fog,100435.631,clouds over head and dispersed sunny,12/10/2012 9:00,5371.062885
226,None,279.29,0,0,75, Fog,100818.4,low clouds and high wind,12/10/2012 10:00,4850.884898
227,None,280.45,0,0,75, Fog,100213.91,low clouds and high wind,12/10/2012 11:00,5149.216969
228,None,280.95,0,0,40, Fog,100644.768,dispersed clounds and rain,12/10/2012 12:00,5356.54205
229,None,281.74,0,0,40, Fog,101163.434,dispersed clounds and rain,12/10/2012 13:00,5405.790421
230,None,282.4178818,0,0,75, Fog,100575.634,low clouds and high wind,12/10/2012 14:00,5943.25754
231,None,282.45,0,0,75, Fog,100302.609,low clouds and high wind,12/10/2012 15:00,5899.432807
232,None,282.2,0,0,75, Fog,100165.382,low clouds and high wind,12/10/2012 16:00,5977.661322
233,None,281.54,0,0,40, Fog,101057.282,dispersed clounds and rain,12/10/2012 17:00,6131.729896
234,None,280.21,0,0,20, Fog,101162.016,bit cloudy,12/10/2012 18:00,5332.044659
235,None,281.2577505,0,0,56,Snow,101082.084,low rain,12/10/2012 23:00,2014.299021
236,None,272.58,0,0,1,Fog ,100245.018,clear sky,13-10-2012 00:00,1490.654399
237,None,272.06,0,0,1,Fog ,101137.882,clear sky,13-10-2012 01:00,922.1407546
238,None,270.99,0,0,1,Fog ,100712.968,clear sky,13-10-2012 02:00,420.2016496
239,None,270.29,0,0,20, Fog,100007.699,bit cloudy,13-10-2012 03:00,250.5526389
240,None,269.48,0,0,1,Fog ,101225.73,clear sky,13-10-2012 04:00,525.4996966
241,None,269.27,0,0,1,Fog ,101102.263,clear sky,13-10-2012 05:00,779.866269
242,None,268.91,0,0,1,Fog ,101204.073,clear sky,13-10-2012 06:00,1304.535134
243,None,268.98,0,0,75, Fog,100096.914,low clouds and high wind,13-10-2012 07:00,2268.481618
244,None,269.23,0,0,40, Fog,101127.362,dispersed clounds and rain,13-10-2012 08:00,3486.360469
245,None,272.61,0,0,40, Fog,100937.674,dispersed clounds and rain,13-10-2012 09:00,4374.768568
246,None,276.78,0,0,20,Percipitation ,100675.653,high rain,13-10-2012 10:00,4461.071225
247,None,279.22,0,0,1,Fog ,100531.161,clear sky,13-10-2012 11:00,4548.210906
248,None,280.35,0,0,1,Fog ,100974.905,clear sky,13-10-2012 12:00,4550.149317
249,None,281.81,0,0,1,Fog ,100371.647,clear sky,13-10-2012 13:00,4302.833778
250,None,283.05,0,0,1,Fog ,100654.718,clear sky,13-10-2012 14:00,4477.845573
251,None,283.96,0,0,1,Fog ,100892.085,clear sky,13-10-2012 15:00,4599.764777
252,None,284.53,0,0,1,Fog ,100026.46,clear sky,13-10-2012 16:00,4404.52513
253,None,284.44,0,0,1,Fog ,100849.936,clear sky,13-10-2012 17:00,4428.519907
254,None,283.64,0,0,1,Fog ,100875.943,clear sky,13-10-2012 18:00,4311.319848
255,None,281.85,0,0,20, Fog,100486.74,bit cloudy,13-10-2012 19:00,3545.232474
256,None,281.38,0,0,1,Fog ,100920.875,clear sky,13-10-2012 20:00,3074.856766
257,None,281.84,0,0,75, Fog,100632.022,low clouds and high wind,13-10-2012 21:00,2633.064638
258,None,282.23,0,0,90, Fog,101245.672,clouds over head and dispersed sunny,13-10-2012 22:00,2973.064922
259,None,282.18,0,0,90, Fog,101155.431,clouds over head and dispersed sunny,13-10-2012 23:00,2067.173789
260,None,282.49,0,0,90, Fog,100579.166,clouds over head and dispersed sunny,14-10-2012 00:00,1167.148492
261,None,282.54,0,0,90,Fog ,100895.965,haze,14-10-2012 01:00,982.8682865
262,None,282.58,0,0,90,Squall,101059.206,proximity shower rain,14-10-2012 02:00,607.2795709
263,None,282.23,0,0,90, Fog,101217.264,clouds over head and dispersed sunny,14-10-2012 03:00,191.7064246
264,None,282.08,0,0,90, Fog,100998.31,clouds over head and dispersed sunny,14-10-2012 04:00,199.2371375
265,None,282.23,0,0,90, Fog,100400.921,clouds over head and dispersed sunny,14-10-2012 05:00,595.0540232
266,None,282.24,0,0,90, Fog,101208.991,clouds over head and dispersed sunny,14-10-2012 06:00,957.8059849
267,None,282.24,0,0,90, Fog,100183.058,clouds over head and dispersed sunny,14-10-2012 07:00,982.5626238
268,None,282.24,0,0,57, Calm,100846.94,mist,14-10-2012 08:00,1944.826516
269,None,282.43,0,0,57, Sprinkle,100287.762,haze,14-10-2012 09:00,2728.233645
270,None,282.4720118,0,0,57, Calm,100945.666,mist,14-10-2012 09:00,2545.75166
271,None,282.43,0,0,57,Haze,100067.468,haze,14-10-2012 09:00,2518.239889
272,None,282.33,0,0,57, Sprinkle,100500.179,low drizzle,14-10-2012 10:00,3276.686227
273,None,282.33,0,0,57, Calm,100070.142,mist,14-10-2012 10:00,3383.056049
274,None,282.82,0,0,57, Sprinkle,100237.123,low drizzle,14-10-2012 11:00,3521.304717
275,None,282.82,0,0,57, Calm,100059,mist,14-10-2012 11:00,3625.966965
276,None,283.33,0,0,57, Calm,101150.244,mist,14-10-2012 12:00,4031.230977
277,None,282.8160639,0,0,57,Percipitation ,101110.383,light rain,14-10-2012 12:00,4311.753626
278,None,283.33,0,0,57, Sprinkle,100926.68,low drizzle,14-10-2012 12:00,4243.349236
279,None,283.75,0,0,93,Percipitation ,101090.231,light rain,14-10-2012 13:00,4123.758071
280,None,283.75,0,0,93, Calm,100045.763,mist,14-10-2012 13:00,4105.155336
281,None,283.75,0,0,93, Sprinkle,100889.817,low drizzle,14-10-2012 13:00,4058.514295
282,None,285.4112481,0,0,93,Haze,100945.01,freezing rain,14-10-2012 14:00,4477.296872
